"","X","median_income","GEO_ID","index","percent_white","percent_in_labor_force","percent_no_available_car","percent_public_trans_commute","life_expectancy","se.e.0..","tree_density","percent_not_alive","avg_tree_diam"
"1190",1189,23661,36061029900,"Census Tract 299, New York County, New York: Summary level: 140, state:36> county:061> tract:029900",21.5455140798952,41.4101724514298,21.1307574765335,25.0382012660991,80.3,2.204,"Low","Medium","Low"
"1191",1190,54718,36061030300,"Census Tract 303, New York County, New York: Summary level: 140, state:36> county:061> tract:030300",42.6124197002141,56.8950749464668,31.2419700214133,34.5610278372591,82.6,2.2322,"High","Medium","Low"
"1192",1191,71250,36061030700,"Census Tract 307, New York County, New York: Summary level: 140, state:36> county:061> tract:030700",74.3919885550787,63.7195994277539,32.8183118741059,41.4306151645207,86.4,3.4282,"High","Low","Low"
"1193",1192,27513,36061030900,"Census Tract 309, New York County, New York: Summary level: 140, state:36> county:061> tract:030900",26.8993402851671,49.2870823579485,19.7169610555437,24.239199829751,80.9,1.6154,"Low","Low","Medium"
"1194",1193,NA,36061031100,"Census Tract 311, New York County, New York: Summary level: 140, state:36> county:061> tract:031100",NA,NA,NA,NA,NA,NA,"Low","High","Medium"
"1195",1194,182401,36061031703,"Census Tract 317.03, New York County, New York: Summary level: 140, state:36> county:061> tract:031703",72.5633802816901,58.4225352112676,41.9154929577465,24.9915492957747,85.8,1.4771,"Medium","Low","Low"
"1196",1195,152692,36061031704,"Census Tract 317.04, New York County, New York: Summary level: 140, state:36> county:061> tract:031704",69.7255699143314,69.3625671555104,40.2933062291273,40.0900246841876,NA,NA,"High","Low","Low"
"1197",1196,64242,36081000200,"Census Tract 2, Queens County, New York: Summary level: 140, state:36> county:081> tract:000200",51.6349583828775,55.7966706302021,14.5065398335315,27.1997621878716,83.5,2.1787,"High","High","Medium"
"1198",1197,54773,36081000400,"Census Tract 4, Queens County, New York: Summary level: 140, state:36> county:081> tract:000400",41.7854792717701,49.9890326826058,15.7929370475982,34.3277034437377,82.7,3.0699,"Low","Medium","High"
"1199",1198,56694,36081000600,"Census Tract 6, Queens County, New York: Summary level: 140, state:36> county:081> tract:000600",28.5263987391647,52.7712109272393,11.6101917520357,28.2374573154715,79.8,1.7486,"Medium","Low","High"
"1200",1199,93670,36081000700,"Census Tract 7, Queens County, New York: Summary level: 140, state:36> county:081> tract:000700",69.9398108340499,71.2295786758383,33.585554600172,47.8933791917455,87,3.4397,"Medium","High","Low"
